description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Simon George,1,360,45,70,%,,,,,,
,1,10,120,120,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,130,130,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,140,140,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,150,150,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,160,160,%,,,,,,
,1,140,50,50,%,,,,,,
,1,300,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,10,30,125,125,%,,15,60,60,%,
,1,180,50,50,%,,,,,,
,10,30,125,125,%,,15,60,60,%,
,1,180,50,50,%,,,,,,
,10,30,125,125,%,,15,60,60,%,
,1,180,50,50,%,,,,,,
,1,300,90,90,%,,,,,,
,1,300,70,45,%,,,,,,
