description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: John Levison,1,330,45,80,%,,,,,,
,5,20,120,120,%,,30,50,50,%,
,1,50,50,50,%,,,,,,
,1,15,105,105,%,,,,,,
,1,240,88,88,%,,,,,,
,1,15,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,15,105,105,%,,,,,,
,1,240,88,88,%,,,,,,
,1,15,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,15,105,105,%,,,,,,
,1,240,88,88,%,,,,,,
,1,15,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,15,105,105,%,,,,,,
,1,240,88,88,%,,,,,,
,1,15,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,15,105,105,%,,,,,,
,1,240,88,88,%,,,,,,
,1,15,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,15,105,105,%,,,,,,
,1,240,88,88,%,,,,,,
,1,15,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,15,105,105,%,,,,,,
,1,240,88,88,%,,,,,,
,1,15,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,240,75,40,%,,,,,,
