description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Direct Power Coaching (Zwift Fitness),1,840,25,75,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,30,200,200,%,90,,,,,
,1,180,55,55,%,,,,,,
,1,600,55,25,%,,,,,,
