description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Racing at the top level can be unpredictable. Often the start of the race is the hardest part of the whole day. This workout will highlight the impact of a hard start on the body.,1,120,50,50,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,80,80,%,75,,,,,
,1,120,90,90,%,,,,,,
,1,120,55,55,%,,,,,,
,1,30,190,190,%,,,,,,
,1,180,100,100,%,,,,,,
,1,60,50,50,%,,,,,,
,2,10,200,200,%,,50,50,50,%,
,1,420,50,50,%,,,,,,
,1,120,80,80,%,,,,,,
,1,600,100,100,%,,,,,,
,1,300,55,55,%,,,,,,
,1,13,185,185,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,115,115,%,,,,,,
,1,120,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,98,98,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,120,120,%,,,,,,
,1,317,50,50,%,,,,,,
