description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Love them or hate them, time trials are an essential part of racing. Being able to pace yourself through the duration of the effort is crucial. Put yourself into the hurt locker as we simulate the 2019 World Championships Women's and U23 Time Trial course!",1,180,55,55,%,,,,,,
,1,180,70,70,%,85,,,,,
,1,180,85,85,%,70,,,,,
,1,180,55,55,%,,,,,,
,1,180,105,105,%,,,,,,
,1,120,50,50,%,,,,,,
,2,30,150,150,%,,90,45,45,%,
,1,180,50,50,%,,,,,,
,1,10,150,150,%,,,,,,
,1,120,100,100,%,,,,,,
,1,720,90,90,%,,,,,,
,1,10,140,140,%,,,,,,
,1,180,120,120,%,,,,,,
,1,300,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,120,90,90,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,150,150,%,,,,,,
,1,420,45,45,%,,,,,,
