description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"In racing, adaptability to pace changes often sets champions apart from the pack. This workout challenges your ability to rapidly engage and disengage your muscles through progressively challenging interval sets. However, this is just the beginning. As you delve deeper into each set, prepare for an intense test of your VO2 max—a measure of the maximal amount of oxygen that you can utilise during intense exercise.",1,120,60,60,%,,,,,,
,1,120,70,70,%,,,,,,
,1,120,80,80,%,,,,,,
,1,60,90,90,%,,,,,,
,1,180,65,65,%,,,,,,
,5,30,133,133,%,,30,60,60,%,
,1,180,60,60,%,,,,,,
,4,40,123,123,%,,40,60,60,%,
,1,180,60,60,%,,,,,,
,3,60,113,113,%,,60,60,60,%,
,1,300,60,45,%,,,,,,
