description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Although the intensity of a maximal 4-minute effort is far higher than ultra-distance power, it still has a direct relationship with performance. This is because the maximal power attained over 4 minutes is an excellent indicator of your maximal aerobic engine. This session comes with a twist! We're also interested in your best 4-minute power under fatigue. This gives us an idea of both aerobic capacity and your overall endurance. Both critical for ultra-distance triathlon of course!",1,300,50,70,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,80,80,%,,,,,,
,1,180,50,50,%,,,,,,
,1,240,109,109,%,,,,,,
,1,180,50,50,%,,,,,,
,1,300,83,83,%,,,,,,
,1,300,73,73,%,,,,,,
,1,300,83,83,%,,,,,,
,1,300,73,73,%,,,,,,
,1,360,55,55,%,,,,,,
,1,240,0,0,0,,,,,,
,1,30,30,30,%,,,,,,
,1,270,60,45,%,,,,,,
