description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This is a hard session, make sure you are suitably motivated - the reduction in recovery time will get on top of you and is often around the 3 minute intervals that riders start to crack - push through it!",1,1200,25,90,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,110,110,%,,,,,,
,1,240,65,65,%,,,,,,
,1,240,110,110,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,110,110,%,,,,,,
,1,180,65,65,%,,,,,,
,1,180,110,110,%,,,,,,
,1,180,65,65,%,,,,,,
,1,180,110,110,%,,,,,,
,1,180,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,600,75,25,%,,,,,,
