description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
A race simulation on London Classique where you'll tackle 4 laps of the course.,1,420,50,75,%,,,,,,
,2,30,110,110,%,110,30,55,55,%,85
,1,60,55,55,%,,,,,,
,1,20,150,150,%,,,,,,
,1,60,100,100,%,,,,,,
,1,30,65,65,%,,,,,,
,1,180,90,90,%,,,,,,
,1,20,130,130,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,85,85,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,120,120,%,,,,,,
,1,180,95,95,%,,,,,,
,1,120,85,85,%,,,,,,
,1,180,95,95,%,,,,,,
,1,60,120,120,%,,,,,,
,1,180,95,95,%,,,,,,
,1,120,85,85,%,,,,,,
,1,180,95,95,%,,,,,,
,1,60,120,120,%,,,,,,
,1,180,95,95,%,,,,,,
,1,120,85,85,%,,,,,,
,1,180,95,95,%,,,,,,
,1,45,130,130,%,,,,,,
,1,120,105,105,%,,,,,,
,1,20,200,200,%,,,,,,
,1,300,55,35,%,,,,,,
