description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
A race simulation on Volcano Climb Forward where you'll tackle 2 laps of the course.,1,420,35,55,%,,,,,,
,2,30,110,110,%,110,30,55,55,%,85
,1,60,55,55,%,,,,,,
,1,20,150,150,%,,,,,,
,1,10,130,130,%,,,,,,
,1,20,55,55,%,,,,,,
,1,240,85,85,%,,,,,,
,1,30,120,120,%,,,,,,
,1,180,85,85,%,,,,,,
,1,180,95,95,%,75,,,,,
,1,30,55,55,%,,,,,,
,1,120,85,85,%,,,,,,
,1,180,115,115,%,,,,,,
,1,60,100,100,%,,,,,,
,1,240,115,115,%,,,,,,
,1,30,150,150,%,,,,,,
,1,240,65,65,%,,,,,,
,1,480,85,85,%,,,,,,
,1,30,120,120,%,,,,,,
,1,180,85,85,%,,,,,,
,1,180,95,95,%,75,,,,,
,1,30,55,55,%,,,,,,
,1,120,85,85,%,,,,,,
,1,180,115,115,%,,,,,,
,1,60,100,100,%,,,,,,
,1,240,115,115,%,,,,,,
,1,30,150,150,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,200,200,%,,,,,,
,1,300,55,35,%,,,,,,
