description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
 This session is all about increasing your FTP by maintaining a sub FTP baseline intensity with brief surges up and over at Vo2 capacity. A popular and testing workout.  These workouts have been designed and tested by some of the best cyclists in the world.,1,480,35,55,%,,,,,,
,1,105,93,93,%,,15,148,148,%,
,1,105,93,93,%,,15,148,148,%,
,1,105,93,93,%,,15,148,148,%,
,1,105,93,93,%,,15,148,148,%,
,1,105,93,93,%,,15,148,148,%,
,1,360,55,55,%,,,,,,
,1,105,93,93,%,,15,140,140,%,
,1,105,93,93,%,,15,140,140,%,
,1,105,93,93,%,,15,140,140,%,
,1,105,93,93,%,,15,140,140,%,
,1,105,93,93,%,,15,140,140,%,
,1,240,55,35,%,,,,,,
